mean_distance,mean_duration,total_amount,rush_hour
5.8225,19.97083333333333,17.8,0
0.9544444444444444,7.5895061728395055,7.3,0
1.6966666666666665,9.793055555555556,9.3,0
1.3214285714285714,9.417460317460318,8.8,0
0.4,3.566666666666667,5.3,0
1.052741935483871,8.274731182795698,5.8,1
4.96,17.266666666666666,18.3,0
4.92,20.589583333333334,17.8,1
9.6,26.933333333333334,32.3,1
3.0533333333333332,16.555555555555557,18.3,0
2.0875,12.104166666666666,9.3,0
13.8,30.583333333333332,39.8,0
1.3761538461538463,11.526923076923076,15.3,0
1.0116216216216216,7.7081081081081075,8.3,1
1.5607142857142857,14.825000000000001,8.299999999999999,0
1.181904761904762,10.54047619047619,10.8,0
1.4741666666666666,11.185648148148148,10.8,0
10.82,31.942708333333336,35.300000000000004,0
1.1981818181818182,8.977272727272727,8.3,0
1.1422222222222222,9.70185185185185,8.8,1
11.485,30.950000000000003,32.300000000000004,0
1.8784210526315788,19.952631578947365,13.8,0
4.7,23.583333333333332,19.8,0
4.24,29.71904761904762,20.3,0
2.761428571428571,16.385714285714286,13.3,1
1.2175,8.466666666666667,9.8,1
1.8960000000000001,17.513333333333332,13.8,0
6.93,24.983333333333334,25.3,0
2.052258064516129,11.855376344086022,14.8,0
3.9433333333333334,19.477777777777778,23.3,0
1.3766666666666667,11.138888888888888,10.8,0
0.63,3.7333333333333334,5.8,0
1.1286666666666667,4.945555555555556,7.8,0
3.0500000000000003,11.166666666666666,13.3,1
1.0,6.88125,7.300000000000001,1
0.9344444444444444,10.466666666666667,8.3,0
1.1063636363636364,6.5621212121212125,6.800000000000001,0
3.0119999999999996,25.669999999999998,22.3,1
1.9100000000000001,7.832407407407408,10.3,0
2.964,12.809999999999999,13.3,0
1.9271428571428573,14.928571428571429,12.8,0
0.9426923076923077,7.425000000000001,6.8,0
4.068333333333333,21.194444444444443,22.8,0
1.5607142857142857,14.825000000000001,12.8,1
0.8602777777777777,10.688425925925927,5.8,0
1.761764705882353,9.443137254901961,11.3,1
1.7036363636363638,11.227272727272727,6.8,0
3.9,17.233333333333334,18.8,0
1.44875,7.65625,7.800000000000001,1
2.384,31.942708333333336,13.8,0
0.91,5.933333333333334,7.8,1
1.7326315789473685,12.910526315789474,10.3,1
1.8305882352941176,6.292156862745098,7.800000000000001,0
2.118888888888889,14.316666666666666,11.3,0
9.313333333333334,25.186111111111114,28.8,0
0.67,4.15,5.300000000000001,0
1.5571428571428572,6.785714285714286,7.3,0
1.9537931034482758,11.602873563218392,12.3,0
1.33875,7.416666666666667,7.3,1
1.342,23.14,6.8,0
1.2558064516129033,31.942708333333336,8.8,0
0.55,3.2666666666666666,4.8,0
0.3,2.05,4.8,0
0.8865217391304349,5.692028985507246,8.8,0
0.714,5.309444444444444,5.3,0
1.0263461538461538,9.357051282051282,13.3,0
0.8944444444444445,5.764550264550265,6.3,0
10.757200000000001,31.942708333333336,40.3,0
0.7033333333333333,8.76388888888889,6.3,0
2.825833333333333,23.9375,21.3,0
6.013333333333333,31.942708333333336,25.8,0
15.393333333333333,31.942708333333336,52.3,0
1.7026315789473685,12.049999999999999,13.3,0
6.2,27.508333333333333,24.3,0
2.53375,17.847916666666666,12.3,0
3.5140000000000002,23.09,15.8,0
2.41,17.323809523809523,13.3,0
1.7356,11.968,12.8,0
4.684,17.976666666666667,17.8,1
4.4775,17.704166666666666,18.8,0
1.1538461538461537,10.95,8.3,1
1.9288888888888889,14.470370370370368,11.8,0
1.153888888888889,5.8240740740740735,6.3,0
3.6339999999999995,21.62666666666667,14.8,0
0.3,4.183333333333334,5.8,0
3.176,18.343333333333334,20.3,0
5.55,22.54444444444444,22.8,0
3.3375,22.041666666666664,14.3,1
16.9,31.942708333333336,72.3,0
1.6226666666666667,11.204444444444444,8.299999999999999,1
0.47,4.583333333333333,6.8,1
1.8606666666666667,14.74,13.8,0
8.015,22.700000000000003,27.300000000000004,1
1.0214814814814814,8.362962962962964,6.800000000000001,0
0.6404761904761904,5.765873015873016,7.800000000000001,1
3.8207142857142857,19.33809523809524,15.8,0
2.25,14.32878787878788,12.3,0
2.4455555555555555,17.337037037037035,23.3,1
1.7542857142857142,9.414285714285715,10.3,1
2.02,14.468055555555557,16.3,0
2.0066666666666664,10.991666666666667,14.3,1
15.2,31.942708333333336,43.3,0
2.375,16.065833333333334,10.8,0
1.3713636363636363,10.40378787878788,6.800000000000001,1
1.5571428571428572,6.785714285714286,12.3,1
2.8633333333333333,27.57777777777778,23.8,1
0.8944444444444445,5.764550264550265,7.8,0
0.6591666666666667,4.929166666666666,4.8,0
1.72,5.65,8.3,0
2.9066666666666667,17.068055555555556,17.8,1
9.065000000000001,31.942708333333336,29.800000000000004,0
0.6869230769230769,4.407051282051282,7.8,1
1.510625,7.41875,7.800000000000001,1
3.4442857142857144,21.445238095238096,22.3,0
1.1247619047619049,12.157936507936508,13.8,0
4.2,29.9,22.8,1
2.1,10.533333333333333,9.8,0
0.7276315789473684,31.942708333333336,14.8,1
0.9587096774193548,7.353225806451612,5.8,0
1.2128571428571429,10.923015873015872,8.3,0
1.7533333333333334,9.864285714285714,7.8,0
2.0733333333333333,15.125925925925925,11.3,0
1.7366666666666668,10.735185185185186,13.3,0
1.34375,12.832291666666666,7.800000000000001,0
0.7441666666666666,8.701388888888888,8.3,0
4.5649999999999995,26.34166666666667,20.8,0
1.0077777777777779,7.257407407407407,8.8,0
1.9633333333333334,17.365555555555556,19.8,1
2.382,17.321666666666665,13.8,1
1.7333333333333334,11.068888888888889,9.3,0
0.9748837209302326,7.737984496124032,11.3,1
1.38,10.455555555555556,12.3,1
4.39,19.358333333333334,15.8,0
17.358571428571427,31.942708333333336,55.8,0
4.387272727272727,19.434848484848484,19.8,0
0.8345,6.94,8.299999999999999,0
