trip_distance,duration,total_amount,rush_hour
1.06,4.933333333333334,6.8,0
4.1,19.933333333333334,18.8,0
1.08,5.816666666666666,7.800000000000001,1
2.6,16.166666666666668,13.8,0
0.91,5.933333333333334,7.8,1
0.95,11.7,10.3,1
1.71,4.883333333333334,7.800000000000001,0
2.62,10.033333333333333,11.3,0
9.0,29.133333333333333,28.8,0
0.67,4.15,5.300000000000001,0
1.1,5.4,7.3,0
2.14,15.016666666666667,12.3,0
1.4,6.716666666666667,7.3,1
1.0,4.9,6.8,0
1.84,6.916666666666667,8.8,0
0.55,3.2666666666666666,4.8,0
0.3,2.05,4.8,0
1.39,8.666666666666666,8.8,0
0.5,4.333333333333333,5.3,0
1.57,18.566666666666666,13.3,0
1.03,2.4833333333333334,6.3,0
11.51,36.766666666666666,40.3,0
0.65,4.183333333333334,6.3,0
2.8,33.71666666666667,21.3,0
6.14,30.0,25.8,0
15.6,39.883333333333326,52.3,0
1.5,17.983333333333334,13.3,0
7.0,20.666666666666668,24.3,0
2.6,11.783333333333333,12.3,0
3.1,19.183333333333334,15.8,0
2.1,17.066666666666666,13.3,0
1.97,16.583333333333332,12.8,0
4.67,15.1,17.8,1
4.31,22.35,18.8,0
0.84,7.816666666666666,8.3,1
2.34,11.166666666666666,11.8,0
1.04,3.1666666666666665,6.3,0
2.84,18.816666666666666,14.8,0
0.3,4.183333333333334,5.8,0
3.9,27.483333333333334,20.3,0
5.27,26.133333333333333,22.8,0
3.3,15.816666666666666,14.3,1
16.9,39.883333333333326,72.3,0
1.4,6.366666666666666,8.299999999999999,1
0.47,4.583333333333333,6.8,1
2.3,18.133333333333333,13.8,0
8.32,20.733333333333334,27.300000000000004,1
0.95,3.966666666666667,6.800000000000001,0
0.66,7.5,7.800000000000001,1
3.8,14.933333333333334,15.8,0
2.4,12.716666666666667,12.3,0
4.24,34.63333333333333,23.3,1
1.77,11.533333333333333,10.3,1
2.4,22.233333333333334,16.3,0
2.5,16.85,14.3,1
15.2,32.1,43.3,0
2.5,9.066666666666666,10.8,0
0.99,5.433333333333334,6.800000000000001,1
2.2,12.166666666666666,12.3,1
3.3,36.93333333333333,23.8,1
1.13,7.0,7.8,0
0.43,2.533333333333333,4.8,0
1.72,5.65,8.3,0
3.2,22.583333333333332,17.8,1
10.01,20.833333333333332,29.800000000000004,0
0.8,5.416666666666667,7.8,1
1.35,5.616666666666666,7.800000000000001,1
3.85,34.016666666666666,22.3,0
1.6,20.1,13.8,0
4.2,29.9,22.8,1
2.1,7.8,9.8,0
0.78,21.1,14.8,1
0.74,2.466666666666667,5.8,0
0.99,7.783333333333333,8.3,0
1.3,7.15,7.8,0
2.21,12.25,11.3,0
1.9,17.1,13.3,0
1.32,6.783333333333333,7.800000000000001,0
0.5,8.933333333333334,8.3,0
4.93,26.55,20.8,0
1.4,7.916666666666667,8.8,0
2.52,27.533333333333335,19.8,1
2.69,15.683333333333334,13.8,1
1.5,11.25,9.3,0
1.36,14.95,11.3,1
1.52,16.816666666666666,12.3,1
4.5,13.366666666666667,15.8,0
13.61,39.883333333333326,55.8,0
4.5,22.966666666666665,19.8,0
1.1,8.3,8.299999999999999,0
1.29,4.8,7.3,0
1.54,7.766666666666667,9.3,1
1.3,6.5,7.8,0
1.0,8.6,7.8,0
1.3,11.166666666666666,9.8,0
0.7,4.166666666666667,5.8,0
1.1,7.516666666666667,8.8,1
